state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termEct,std_med_income,std_employees,std_police_ideal,repLeg,demLeg,repGov,demGov,state,std_black,invLaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_35.54,adults_55.64,adults_65up,male_pop,female_pop,total_.incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless
47,5,,,17,,29,2013,VA,82.62692,0.154513751,0,1.147708705,-0.182763931,-0.17839589,0,0,1,0,VIRGINIA,0.915776201,0,,,12,,24,7945700,0.638,0.186,0.086,0.059,0.089,0.211,0.158,0.073,0.243,0.09,0.122,0.281,0.128,0.136,0.484,0.516,114600,79215,43885,280939,43756,535,49416,837,7625
48,20,,,30,,41,2013,WA,69.68006,1.22276545,0,0.343026705,-0.140098994,0.131197812,0,1,0,1,WASHINGTON,-0.705760679,0,,,10,,21,6797800,0.71,0.034,0.119,0.077,0.11,0.25,0.268,0.128,0.241,0.091,0.128,0.272,0.131,0.137,0.496,0.504,139200,76022,41325,304350,6652,58,10635,144,17760
49,0,,,10,,11,2013,WV,18.53231,0.205358354,0,-1.784336606,-0.780042443,1.507450312,0,1,0,1,WEST VIRGINIA,-0.73755552,0,,,10,,11,1798200,0.932,0.03,0.012,0.01,0.173,0.316,0.299,0,0.217,0.087,0.106,0.267,0.151,0.173,0.491,0.509,20500,48905,28138,65168,1091,3,1908,18,2240
50,13,,,15,,24,2013,WI,57.42854,1.493445201,0,-0.176150608,-0.33459828,-0.417033717,1,0,1,0,WISCONSIN,-0.440803673,0,,,2,,11,5592500,0.826,0.06,0.063,0.024,0.103,0.375,0.293,0.173,0.241,0.089,0.116,0.271,0.136,0.147,0.495,0.505,98100,66444,27016,220526,14530,174,16702,137,6104
51,1,,,1,,1,2013,WY,5.82684,-1.193252449,0,-0.128816373,-0.471867891,1.757864796,1,0,1,0,WYOMING,-0.949521126,0,,,0,,0,567300,0.85,0.013,0.088,0.01,0.083,0,0.265,0.494,0.251,0.097,0.131,0.248,0.14,0.133,0.504,0.496,9700,69012,33750,15218,44,0,299,0,953
1,0,,,19,18,33,2014,AL,48.43214,0.754928919,0,-1.566192178,-0.330376365,1.087161115,1,0,1,0,ALABAMA,1.721245501,0,,,19,18,33,4714100,0.664,0.263,0.039,0.012,0.135,0.315,0.379,0.136,0.243,0.094,0.113,0.263,0.133,0.154,0.482,0.518,104900,54337,29055,213911,46312,613,42823,567,3970
2,1,,,2,1,4,2014,AK,7.36705,1.492908722,1,1.148672524,-0.276959872,0.483974086,1,0,1,0,ALASKA,-0.7481538,0,,,1,0,3,706600,0.62,0.03,0.066,0.061,0.076,0,0.209,0,0.272,0.109,0.131,0.261,0.131,0.096,0.517,0.483,14600,88221,55897,30180,408,0,1213,0,1956
3,29,,,47,39,57,2014,AZ,67.19993,0.669414696,0,-0.819125153,2.477399667,-0.302767842,1,0,1,0,ARIZO,-0.673965839,0,,,18,10,28,6556200,0.564,0.039,0.305,0.031,0.11,0.258,0.278,0.15,0.255,0.096,0.117,0.251,0.12,0.161,0.49,0.51,133600,61328,39266,280332,8171,164,10132,332,9896
4,0,,,7,6,12,2014,AR,29.66912,0.271294916,1,-1.283043495,-0.457755044,1.154258452,1,0,0,1,ARKANSAS,0.576631233,0,,,7,6,12,2880000,0.736,0.153,0.07,0.012,0.148,0.323,0.306,0.157,0.256,0.089,0.115,0.258,0.127,0.156,0.487,0.513,69100,51972,26733,106664,14414,168,16442,204,2560
5,116,,,172,157,239,2014,CA,386.8081,3.050581263,1,0.383828388,1.993764879,2.575904706,0,1,0,1,CALIFORNIA,-0.493795074,0,,,56,41,123,37981600,0.383,0.054,0.388,0.139,0.104,0.254,0.228,0.116,0.25,0.101,0.131,0.271,0.118,0.129,0.493,0.507,589600,83693,43476,1963430,88507,1884,94954,2369,115738
6,13,,,22,21,25,2014,CO,53.49648,0.849605469,1,0.432340624,0.048027839,0.135028344,0,1,0,1,COLORADO,-0.684564119,0,,,9,8,12,5217000,0.69,0.037,0.212,0.029,0.088,0.2,0.215,0.106,0.247,0.094,0.133,0.271,0.127,0.128,0.498,0.502,119800,76398,41980,200689,6863,70,8071,109,9953
7,2,,,3,1,5,2014,CT,35.91873,0.482621858,0,1.419827012,0.379067583,0.365709028,0,1,0,1,CONNECTICUT,-0.059265583,1,,,1,-1,3,3480400,0.688,0.095,0.151,0.042,0.06,0.186,0.241,0.073,0.231,0.084,0.11,0.283,0.139,0.154,0.486,0.514,62300,91087,42838,168240,14289,526,18533,173,4047
8,2,,,3,4,7,2014,DE,9.34948,0.810654042,0,0.066303484,-0.081262879,-0.281649603,0,1,0,1,DELAWARE,1.148938367,0,,,1,2,5,905300,0.639,0.21,0.089,0.039,0.095,0.221,0.162,0.053,0.234,0.093,0.112,0.261,0.137,0.164,0.482,0.518,23300,71990,46149,36647,5589,82,5903,66,953
9,,,,,,,2014,,,,,,,,,,,,DISTRICT OF COLUMBIA,,,,,,,,623500,0.354,0.482,0.105,0.036,0.066,0.251,0.158,0.128,0.188,0.104,0.213,0.271,0.109,0.115,0.474,0.526,11900,111430,40829,37106,13879,169,14767,245,7298
10,0,,,102,79,118,2014,FL,198.88741,0.944996108,1,-1.15260662,0.987240957,-0.482176286,1,0,1,0,FLORIDA,0.555434672,0,,,102,79,118,19431100,0.557,0.153,0.243,0.026,0.116,0.269,0.218,0.136,0.217,0.088,0.111,0.261,0.131,0.192,0.485,0.515,382600,57046,34467,946524,122140,2258,127179,2807,35900
11,9,,,31,27,53,2014,GA,100.87231,-0.085839594,0,-0.786890753,-0.105587776,-0.513784123,1,0,1,0,GEORGIA,2.187569833,0,,,22,18,44,9792900,0.545,0.306,0.092,0.037,0.121,0.276,0.301,0.108,0.264,0.094,0.121,0.278,0.119,0.124,0.482,0.519,579600,63671,36356,488862,118937,1356,114540,1838,13790
12,0,,,4,2,4,2014,HI,14.16349,0.995019599,0,1.533557686,4.087039125,-1.712070026,0,1,0,1,HAWAII,-0.875333164,0,,,4,2,4,1348100,0.217,0.017,0.099,0.374,0.105,0,0.149,0.109,0.233,0.087,0.126,0.256,0.132,0.167,0.491,0.509,28300,86430,61829,43236,641,0,629,7,7620
13,0,,,4,4,4,2014,ID,16.33532,-0.021507813,0,-0.371056283,-0.411293324,-0.219028272,1,0,1,0,IDAHO,-1.023709087,0,,,4,4,4,1598800,0.829,0.01,0.121,0.014,0.129,0,0.253,0.137,0.278,0.094,0.114,0.246,0.124,0.144,0.496,0.504,48600,57408,33391,56283,320,0,349,0,1966
14,16,,,36,30,57,2014,IL,128.67544,1.425166197,0,-0.212775741,-0.158477796,-1.13674437,0,1,0,1,ILLINOIS,0.407058748,0,,,20,14,41,12569400,0.623,0.138,0.168,0.051,0.093,0.312,0.195,0.111,0.246,0.093,0.124,0.272,0.128,0.137,0.488,0.512,219000,72851,34174,620086,89246,1287,86860,1136,13177
15,10,,,11,10,21,2014,IN,65.95233,0.700957341,0,-0.946991842,-0.241691151,-0.998376172,1,0,1,0,INDIA,-0.112256985,0,,,1,0,11,6386700,0.805,0.091,0.065,0.019,0.121,0.315,0.279,0.167,0.254,0.093,0.116,0.266,0.13,0.142,0.49,0.51,175200,60618,30531,269392,24567,377,23697,319,5863
16,3,,,10,8,18,2014,IA,31.0803,0.770128654,0,0.0971457,-0.509372246,0.429676292,0,0,1,0,IOWA,-0.758752081,0,,,7,5,15,3002100,0.873,0.033,0.055,0.021,0.106,0.345,0.205,0.176,0.248,0.09,0.116,0.255,0.134,0.156,0.497,0.503,46500,64199,27745,81452,2818,0,3339,135,3081
17,2,,,15,14,27,2014,KS,28.9936,-0.120516554,0,-0.370413737,-0.618658182,-0.218178209,1,0,1,0,KANSAS,-0.483196794,0,,,13,12,25,2810700,0.77,0.054,0.114,0.025,0.106,0.247,0.279,0.134,0.266,0.095,0.119,0.251,0.128,0.141,0.491,0.509,37400,65700,32903,89727,5675,34,5886,81,2588
18,2,,,20,18,27,2014,KY,44.13057,0.092229628,0,-1.511789935,-0.666585561,-0.137252182,0,0,0,1,KENTUCKY,-0.260632908,0,,,18,16,25,4268800,0.858,0.075,0.033,0.012,0.167,0.322,0.346,0.233,0.243,0.091,0.113,0.271,0.134,0.148,0.491,0.509,103600,55166,28858,180101,12623,103,12264,165,4538
19,9,,,26,21,46,2014,LA,46.4788,0.348912375,1,-1.552484526,0.330332977,-0.220388374,1,0,1,0,LOUISIA,2.314749196,0,,,17,12,37,4508500,0.596,0.319,0.047,0.017,0.121,0.33,0.254,0.126,0.256,0.098,0.126,0.256,0.128,0.136,0.482,0.518,113600,57681,28116,176490,43041,688,46208,489,4081
