state_id,police_homicide,police_homicide_wp,police_homicide_guardian,police_homicide_mpv,police_homicide_kbp,police_homicide_fatal,year,state_abb,pop_100000,std_squire_capacity,termect,std_med_income,std_employees,std_police_ideal,repleg,demleg,repgov,demgov,state,std_black,invlaw,wapost_fbi_dif,guard_fbi_dif,mpv_fbi_dif,kbp_fbi_dif,fatal_fbi_dif,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,white_pov,black_pov,hispanic_pov,asian_pov,children_0_18,adults_19_25,adults_26_34,adults_3554,adults_5564,adults_65up,male_pop,female_pop,total_incar,income,black_income,unemployment,black_female_16_65_unemp,black_female_65up_unemp,black_male_16_65_unemp,black_male_65up_unemp,homeless,black_unemp,underreport,black_unemp_per,homeless_per,unemployment_per,total_incar_per,underreport2
44,54,,,92,,213,2013,TX,264.73526,.51147479,0,-.41507068,.27009761,2.6365786,1,0,1,0,TEXAS,.14210173,0,,,38,,159,25773000,.44,.113,.38600001,.041000001,.093999997,.24699999,.255,.108,.28299999,.098999999,.12800001,.26800001,.11,.112,.49200001,.50800002,711900,66924,38156,946898,91585,1464,99859,1321,29615,194229,,.0075361426,.0011490707,.036739923,.02762193,159
44,50,,,107,96,218,2014,TX,269.44751,.51147479,0,-.32425749,.22763133,2.6365786,1,0,1,0,TEXAS,.15270002,0,,,57,46,168,26280100,.435,.114,.38800001,.043000001,.092,.23100001,.252,.112,.28099999,.097999997,.12899999,.266,.111,.115,.491,.509,699300,68067,38709,912286,90459,1567,98473,1395,23678,191894,,.0073018749,.00090098591,.034713946,.026609488,168
44,52,100,112,115,106,197,2015,TX,274.29639,.39701965,0,-.046035007,.25251636,2.6365786,1,0,1,0,TEXAS,.15270002,0,48,60,63,54,145,4730100,.43000001,.115,.391,.045000002,.086000003,.213,.227,.107,.28,.097000003,.12899999,.26499999,.113,.117,.491,.509,687300,69068,39345,846793,85492,1561,91192,1374,23678,179619,48,.037973616,.0050058137,.17902222,.14530349,145
44,37,82,93,95,85,165,2016,TX,278.62595,.39701965,0,.13312829,.26184344,2.6365786,1,0,1,0,TEXAS,.15270002,0,45,56,58,48,128,27178300,.42500001,.115,.39300001,.046999998,.089000002,.204,.223,.108,.27900001,.097000003,.13,.26199999,.113,.12,.49200001,.50800002,681900,70980,40750,786779,78660,1412,84554,1337,23122,165963,45,.0061064526,.00085075223,.028948793,.025089869,128
44,,69,,84,77,114,2017,TX,,.50074852,0,.25617588,-.026694207,2.6365786,1,0,1,0,TEXAS,.16329831,0,,,,,,27621300,.419,.116,.39700001,.048,.085000001,.19,.204,.098999999,.27700001,.094999999,.13,.26199999,.114,.122,.49200001,.50800002,677100,73712,42401,728084,71925,1432,77653,1316,23548,152326,,.0055148019,.00085253047,.026359512,.02451369,
45,0,,,7,,9,2013,UT,29.02663,-.24929732,0,.64941412,-.31469074,-.029218581,1,0,1,0,UTAH,-.98131597,0,,,7,,9,2849400,.796,.0099999998,.133,.022,.101,.28999999,.243,.21699999,.32600001,.11,.13699999,.237,.093000002,.097999997,.50199997,.498,25200,70777,36441,92118,796,0,1008,0,3277,1804,,.00063311576,.0011500667,.032328911,.0088439668,9
45,3,,,19,18,28,2014,UT,29.41836,-.24929732,0,.693964,-.27220604,-.029218581,1,0,1,0,UTAH,-.97071767,0,,,16,15,25,2891800,.79400003,.0099999998,.134,.023,.089000002,.234,.23899999,.176,.324,.108,.13500001,.237,.096000001,.101,.5,.5,25700,71918,39915,87021,818,0,1004,0,3025,1822,,.00063005742,.0010460613,.030092331,.0088871978,25
45,3,10,10,11,9,11,2015,UT,29.906321,-1.0999107,0,1.0018507,-.26572996,-.029218581,1,0,1,0,UTAH,-.97071767,1,7,7,8,6,8,4730100,.79000002,.011,.13699999,.024,.090999998,.33500001,.189,.204,.32100001,.11,.131,.23899999,.094999999,.103,.50199997,.498,25500,72981,38900,73776,696,0,873,0,3025,1569,7,.00033170547,.00063952134,.015597133,.0053910064,8
45,3,8,8,9,8,13,2016,UT,30.512171,-1.0999107,0,1.1328231,-.25779447,-.029218581,1,0,1,0,UTAH,-.98131597,1,5,5,6,5,10,2999300,.78799999,.0099999998,.138,.024,.082000002,.39199999,.18000001,.145,.32100001,.108,.131,.23800001,.097000003,.105,.50199997,.498,25400,75170,40622,65750,606,0,825,0,2807,1431,5,.00047711132,.00093588507,.021921782,.0084686428,10
45,,7,,6,6,13,2017,UT,,-1.1546013,0,1.5438384,-.26411575,-.029218581,1,0,1,0,UTAH,-.96011943,1,,,,,,3047400,.78500003,.011,.14,.024,.079999998,.19599999,.15700001,.131,.315,.107,.131,.242,.097000003,.108,.50199997,.498,26200,78530,40536,57475,402,0,745,0,2852,1147,,.00037638642,.00093587977,.01886034,.0085974932,
